alegeri,diaspora,Judet,timestamp,Votantilista,Votantipelistapermanenta,Votantipelistacomplementara,inscrisi_L_permanente,inscrisi_L_complementare,LP,LS,LSC,UM,LT,M_1824,M_2534,M_3544,M_4564,M_65+,F_1824,F_2534,F_3544,F_4564,F_65+
2024-prez-1,0,GR,2024-11-22 16:00,,,,213372,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,HD,2024-11-22 16:00,,,,363541,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,HR,2024-11-22 16:00,,,,263633,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,IF,2024-11-22 16:00,,,,426754,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,IL,2024-11-22 16:00,,,,220340,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,IS,2024-11-22 16:00,,,,809586,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,MH,2024-11-22 16:00,,,,221479,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,MM,2024-11-22 16:00,,,,419926,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,MS,2024-11-22 16:00,,,,469221,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,NT,2024-11-22 16:00,,,,453976,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,OT,2024-11-22 16:00,,,,346175,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,PH,2024-11-22 16:00,,,,632065,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,SB,2024-11-22 16:00,,,,382452,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,SJ,2024-11-22 16:00,,,,191585,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,SM,2024-11-22 16:00,,,,310277,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,SR,2024-11-22 16:00,,,,0,,0,16976,4227,0,21203,978,2089,3133,3537,821,1095,2033,2838,3828,851
2024-prez-1,0,SV,2024-11-22 16:00,,,,607742,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,TL,2024-11-22 16:00,,,,184884,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,TM,2024-11-22 16:00,,,,630642,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,TR,2024-11-22 16:00,,,,284363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,VL,2024-11-22 16:00,,,,314358,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,VN,2024-11-22 16:00,,,,303920,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,VS,2024-11-22 16:00,,,,426587,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,0,AB,2024-11-22 08:00,,,,302724,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
